,Gene
1211,OR8U1
1212,ORAI3
1213,ORC2
1214,ORMDL2
1215,ORMDL3
1216,OSCP1
1217,OSGIN1
1218,OSMR
1219,OTX1
1220,OVOL1
1221,P2RX7
1222,PABPN1L
1223,PACS2
1224,PACSIN1
1225,PADI4
1226,PAGE4
1227,PAH
1228,PAK5
1229,PAPOLA
1230,PAPPA2
1231,PARD3
1232,PARD6A
1233,PARP11
1234,PARP14
1235,PARP9
1236,PARPBP
1237,PARVB
1238,PAX3
1239,PBX1
1240,PC
1241,PCBP4
1242,PCDH12
1243,PCDHB10
1244,PCDHGA2
1245,PCDHGA4
1246,PCDHGA8
1247,PCDHGA9
1248,PCDHGB5
1249,PCDHGB6
1250,PCDHGB7
1251,PCDHGC4
1252,PCK1
1253,PCLAF
1254,PCNX3
1255,PCP4L1
1256,PCSK2
1257,PCSK9
1258,PCYOX1
1259,PDE1B
1260,PDE3B
1261,PDGFRA
1262,PDGFRB
1263,PDK3
1264,PDLIM5
1265,PDPR
1266,PDX1
1267,PEAR1
1268,PELO
1269,PER3
1270,PEX10
1271,PFAS
1272,PFKFB1
1273,PFKL
1274,PFKM
1275,PFKP
1276,PFN1
1277,PGAM5
1278,PGGHG
1279,PGM2L1
1280,PHC3
1281,PHEX
1282,PHKB
1283,PHLDA1
1284,PHLDA3
1285,PHOSPHO1
1286,PHYHIPL
1287,PI16
1288,PIAS3
1289,PIEZO1
1290,PIGA
1291,PIGQ
1292,PIK3CG
1293,PILRA
1294,PIM2
1295,PITPNA
1296,PKD1
1297,PKHD1
1298,PKLR
1299,PLA1A
1300,PLA2G10
1301,PLA2G12A
1302,PLA2G5
1303,PLCB3
1304,PLCD1
1305,PLCG1
1306,PLD1
1307,PLD2
1308,PLEC
1309,PLEK
1310,PLEKHO1
1311,PLEKHO2
1312,PLG
1313,PLPPR2
1314,PLSCR4
1315,PLTP
1316,PLVAP
1317,PLXNB3
1318,PMM2
1319,PMPCA
1320,PMVK
1321,PNLDC1
1322,PNLIP
1323,PNMT
1324,PNP
1325,POLE3
1326,POLR1D
1327,POLR2G
1328,POLR2J
1329,POLR3B
1330,POM121L2
1331,POMC
1332,PON2
1333,POP7
1334,POR
1335,POU3F3
1336,PPA2
1337,PPARA
1338,PPARG
1339,PPBP
1340,PPEF1
1341,PPEF2
1342,PPIL2
1343,PPM1J
1344,PPM1K
1345,PPP1R13L
1346,PPP1R18
1347,PPP1R35
1348,PPP1R37
1349,PPP1R3F
1350,PPP2R2B
1351,PPP2R5A
1352,PPP4R1
1353,PRC1
1354,PREB
1355,PRELID3B
1356,PRICKLE3
1357,PRKCG
1358,PRM3
1359,PROC
1360,PROS1
1361,PRPH
1362,PRR12
1363,PRR29
1364,PRRC2A
1365,PRRC2C
1366,PRRG3
1367,PRRT1
1368,PRSS1
1369,PRSS35
1370,PRSS56
1371,PSMB5
1372,PSMB6
1373,PSMB9
1374,PSMD2
1375,PSORS1C1
1376,PSORS1C2
1377,PSRC1
1378,PTCH1
1379,PTGFR
1380,PTH1R
1381,PTK7
1382,PTPN11
1383,PTPN7
1384,PTPRH
1385,PVR
1386,PXN
1387,PXT1
1388,PYCR2
1389,PYM1
1390,QPCTL
1391,QRICH1
1392,QSOX1
1393,QTRT1
1394,R3HDM4
1395,RAB11FIP1
1396,RAB14
1397,RAB22A
1398,RAB24
1399,RAB31
1400,RAB38
1401,RAB39A
1402,RAB3IL1
1403,RAB44
1404,RAB7A
1405,RAB9B
1406,RABGEF1
1407,RAD51AP1
1408,RALGDS
1409,RANBP10
1410,RAP1GAP
1411,RAPGEFL1
1412,RASAL3
1413,RASGRP2
1414,RASGRP4
1415,RASSF1
1416,RAVER1
1417,RBFA
1418,RBKS
1419,RBM14
1420,RBM22
1421,RBM24
1422,RBM47
1423,RC3H1
1424,RCC1L
1425,RCL1
1426,RCOR3
1427,RCVRN
1428,RDH5
1429,RECK
1430,RECQL4
1431,REG1B
1432,REG3A
1433,REL
1434,REXO4
1435,RFLNB
1436,RFNG
1437,RFTN2
1438,RGL2
1439,RGS12
1440,RGS19
1441,RHAG
1442,RHBDL1
1443,RHCE
1444,RHD
1445,RHOD
1446,RHOF
1447,RHOQ
1448,RIC8A
1449,RIMS1
1450,RIN1
1451,RIOK3
1452,RIPOR1
1453,RIPOR2
1454,RIPOR3
1455,RLN2
1456,RMND5A
1457,RNF123
1458,RNF128
1459,RNF149
1460,RNF19B
1461,RNF2
1462,RNF4
1463,RNFT1
1464,RNPEPL1
1465,ROCK1
1466,ROGDI
1467,RP1L1
1468,RPL10
1469,RPL14
1470,RPL15
1471,RPL19
1472,RPL26
1473,RPL35A
1474,RPL3L
1475,RPL4
1476,RPL5
1477,RPN1
1478,RPS25
1479,RPS6KA4
1480,RPS6KB2
1481,RPS9
1482,RPTOR
1483,RRAGC
1484,RRAS
1485,RRM1
1486,RSRP1
1487,RTL9
1488,RTTN
1489,RUFY2
1490,RUFY3
1491,RUFY4
1492,RUVBL1
1493,RUVBL2
1494,RXFP2
1495,RYR1
